Portfolio,SPY
daily_value,daily_value
1590564.9531810593,1183294.9308755756
1578063.9477822785,1170391.7050691242
1559561.4121803849,1165092.1658986171
1531615.8638773777,1143087.5576036863
1560607.9020848817,1167626.7281105989
1521750.1407294087,1133755.7603686634
1530304.826323298,1142050.6912442395
1541632.699233112,1145737.32718894
1552749.323836926,1148617.5115207373
1569519.0146303328,1169815.668202765
1574254.6161680203,1172811.059907834
1609293.919918858,1199539.1705069125
1617571.4817411853,1199769.5852534561
1626821.9750484738,1205875.5760368663
1613275.160913149,1193663.594470046
1631832.4057705584,1200115.207373272
1652894.0961969665,1217511.5207373272
1657204.7161513618,1218894.0092165899
1654836.6772754814,1218202.7649769585
1633983.8912984317,1202304.1474654379
1632805.4338965341,1198041.474654378
1668119.058909364,1213248.8479262674
1666208.696549264,1215092.1658986178
1676426.4215714966,1219354.8387096778
1651534.8606118215,1199539.1705069127
1654272.6872034003,1203571.4285714289
1658114.2839674628,1218548.3870967745
1662216.032144984,1217972.3502304151
1658724.1813730523,1208410.1382488483
1623923.3689160675,1215322.5806451617
1606679.9606938362,1213479.2626728115
1599178.806234958,1200000.0000000005
1625888.5577191745,1204493.0875576043
1622340.7916191963,1211290.3225806458
1609493.4122245654,1216474.654377881
1620712.346145713,1224769.585253457
1609007.039878955,1219009.2165898625
1620212.9847574846,1220852.5345622129
1587374.106378377,1206221.198156683
1608158.8995192756,1213018.4331797245
1609926.971323058,1225345.6221198165
1614933.1209582174,1229838.70967742
1628656.2615464553,1232258.06451613
1664736.7232943324,1238018.4331797243
1677373.5321091248,1240668.2027649777
1661608.3199810644,1238940.0921658995
1669481.8408473323,1238479.2626728117
1665786.6039618058,1226612.9032258072
